name,type1,type2,type3,address,lat,lng
東京タワー,観光,展望台,,東京都港区芝公園4-2-8,35.6585805,139.7454329
大阪城,観光,史跡,,大阪府大阪市中央区大阪城1-1,34.6873153,135.5259305
札幌市役所,施設,行政,避難所,北海道札幌市中央区北1条西2丁目,43.0621123,141.3544506
仙台駅,駅,商業施設,,宮城県仙台市青葉区中央1丁目,38.2602004,140.8826897
横浜ランドマークタワー,観光,商業施設,,神奈川県横浜市西区みなとみらい2-2-1,35.4546005,139.6315903
名古屋城,観光,史跡,,愛知県名古屋市中区本丸1-1,35.1855909,136.8997757
京都市役所,施設,行政,,京都府京都市中京区寺町通御池上る上本能寺前町488,35.0111927,135.7706163
神戸市役所,施設,行政,避難所,兵庫県神戸市中央区加納町6-5-1,34.6900953,135.1955887
広島平和記念公園,観光,史跡,公園,広島県広島市中区中島町1,34.3927307,132.4528502
福岡タワー,観光,展望台,,福岡県福岡市早良区百道浜2-3-26,33.5933706,130.3514203
那覇市役所,施設,行政,避難所,沖縄県那覇市泉崎1-1-1,26.2123856,127.6791452
金沢城公園,観光,史跡,公園,石川県金沢市丸の内1-1,36.5641584,136.6592246
松山城,観光,史跡,,愛媛県松山市丸之内1,33.8459231,132.7657216
熊本城,観光,史跡,,熊本県熊本市中央区本丸1-1,32.8064476,130.7056494
弘前公園,観光,公園,史跡,青森県弘前市下白銀町1,40.6073962,140.4640923
旭川市役所,施設,行政,,北海道旭川市7条通9丁目,43.7707722,142.3649893
函館山,観光,展望台,,北海道函館市函館山,41.7553656,140.7079739
釧路市役所,施設,行政,避難所,北海道釧路市黒金町7丁目5番地,42.9849202,144.3820467
帯広市役所,施設,行政,,北海道帯広市西5条南7丁目1,42.9237885,143.1957564
静岡県庁,施設,行政,,静岡県静岡市葵区追手町9-6,34.9756101,138.3830498
浜松城,観光,史跡,公園,静岡県浜松市中区元城町100-2,34.7144392,137.7239706
新潟県庁,施設,行政,,新潟県新潟市中央区新光町4-1,37.9024304,139.0617802
長野県庁,施設,行政,,長野県長野市大字南長野字幅下692-2,36.6485191,138.1947637
松本城,観光,史跡,,長野県松本市丸の内4-1,36.2381248,137.9688343
富山県庁,施設,行政,,富山県富山市新総曲輪1-7,36.6953326,137.2136872
岡山城,観光,史跡,,岡山県岡山市北区丸の内2-3-1,34.6663729,133.9355153
高松市役所,施設,行政,避難所,香川県高松市番町1丁目8-15,34.3422546,134.0466089
鳥取県庁,施設,行政,,鳥取県鳥取市東町1丁目220,35.5011233,134.2351171
山口県庁,施設,行政,,山口県山口市滝町1-1,34.1858871,131.4736229
鹿児島市役所,施設,行政,避難所,鹿児島県鹿児島市山下町11-1,31.5965865,130.5570984
