regioncode,folder,filename,path
01,hukenyohoukutou,01_hokkaido_forecast.geojson,GAS\hukenyohoukutou\01_hokkaido_forecast.geojson
0110000,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
011011,1saibun,01_hokkaido_area.geojson,GAS\1saibun\01_hokkaido_area.geojson
011011,sikutyousonnwomatometatiikitou,01_hokkaido_region.geojson,GAS\sikutyousonnwomatometatiikitou\01_hokkaido_region.geojson
011012,1saibun,01_hokkaido_area.geojson,GAS\1saibun\01_hokkaido_area.geojson
011012,sikutyousonnwomatometatiikitou,01_hokkaido_region.geojson,GAS\sikutyousonnwomatometatiikitou\01_hokkaido_region.geojson
011013,1saibun,01_hokkaido_area.geojson,GAS\1saibun\01_hokkaido_area.geojson
011013,sikutyousonnwomatometatiikitou,01_hokkaido_region.geojson,GAS\sikutyousonnwomatometatiikitou\01_hokkaido_region.geojson
012011,1saibun,01_hokkaido_area.geojson,GAS\1saibun\01_hokkaido_area.geojson
012011,sikutyousonnwomatometatiikitou,01_hokkaido_region.geojson,GAS\sikutyousonnwomatometatiikitou\01_hokkaido_region.geojson
012012,1saibun,01_hokkaido_area.geojson,GAS\1saibun\01_hokkaido_area.geojson
012012,sikutyousonnwomatometatiikitou,01_hokkaido_region.geojson,GAS\sikutyousonnwomatometatiikitou\01_hokkaido_region.geojson
012013,1saibun,01_hokkaido_area.geojson,GAS\1saibun\01_hokkaido_area.geojson
012013,sikutyousonnwomatometatiikitou,01_hokkaido_region.geojson,GAS\sikutyousonnwomatometatiikitou\01_hokkaido_region.geojson
0120200,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
012021,1saibun,01_hokkaido_area.geojson,GAS\1saibun\01_hokkaido_area.geojson
012021,sikutyousonnwomatometatiikitou,01_hokkaido_region.geojson,GAS\sikutyousonnwomatometatiikitou\01_hokkaido_region.geojson
012022,1saibun,01_hokkaido_area.geojson,GAS\1saibun\01_hokkaido_area.geojson
012022,sikutyousonnwomatometatiikitou,01_hokkaido_region.geojson,GAS\sikutyousonnwomatometatiikitou\01_hokkaido_region.geojson
012023,1saibun,01_hokkaido_area.geojson,GAS\1saibun\01_hokkaido_area.geojson
012023,sikutyousonnwomatometatiikitou,01_hokkaido_region.geojson,GAS\sikutyousonnwomatometatiikitou\01_hokkaido_region.geojson
0120300,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0120400,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0120500,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0120601,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0120602,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0120603,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0120700,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0120801,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0120802,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0120900,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0121000,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0121100,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0121200,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0121300,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0121400,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0121500,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0121600,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0121700,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0121800,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0121900,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0122000,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0122100,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0122200,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0122300,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0122400,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0122500,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0122600,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0122700,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0122800,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0122900,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0123000,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0123100,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0123301,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0123302,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0123400,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0123500,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
0123600,sityousontou,01_hokkaido_region.geojson,GAS\sityousontou\01_hokkaido_region.geojson
013011,1saibun,01_hokkaido_area.geojson,GAS\1saibun\01_hokkaido_area.geojson
013011,sikutyousonnwomatometatiikitou,01_hokkaido_region.geojson,GAS\sikutyousonnwomatometatiikitou\01_hokkaido_region.geojson
013012,1saibun,01_hokkaido_area.geojson,GAS\1saibun\01_hokkaido_area.geojson
